timestamp,label,index,middle,ring,pinky,thumb
1781102498.4341178,FEEL,37,73,67,100,100
1781102498.5138712,FEEL,32,62,67,100,100
1781102498.5948815,FEEL,27,51,67,100,100
1781102498.6760612,FEEL,0,42,64,100,100
1781102498.7575514,FEEL,0,37,67,62,100
1781102498.8381126,FEEL,0,32,64,0,100
1781102498.9201365,FEEL,0,30,64,0,100
1781102499.000634,FEEL,0,31,67,0,100
1781102499.0809758,FEEL,0,34,67,0,100
1781102499.1625,FEEL,0,39,67,0,100
1781102499.24352,FEEL,0,44,67,70,100
1781102499.3243113,FEEL,25,47,71,85,100
1781102499.4055722,FEEL,30,54,75,100,100
1781102499.4868,FEEL,35,63,75,100,100
1781102499.5678935,FEEL,40,72,75,100,100
1781102499.648166,FEEL,50,77,78,100,100
1781102499.7303705,FEEL,50,81,75,100,100
1781102499.8103771,FEEL,47,84,78,100,100
1781102499.891376,FEEL,47,86,78,100,100
1781102499.972086,FEEL,45,83,78,100,100
1781102500.053172,FEEL,42,75,82,100,100
1781102500.1349237,FEEL,37,64,82,100,100
1781102500.2147918,FEEL,30,51,85,100,100
1781102500.2962024,FEEL,25,43,78,92,100
1781102500.3767307,FEEL,0,35,78,51,100
1781102500.4582484,FEEL,0,30,78,0,100
1781102500.5388172,FEEL,0,0,78,0,100
1781102500.6204119,FEEL,0,0,78,0,100
1781102500.7011929,FEEL,0,32,82,0,100
1781102500.7820919,FEEL,27,36,78,0,100
1781102500.8636088,FEEL,30,41,75,51,100
1781102500.944268,FEEL,35,44,67,70,100
1781102501.025499,FEEL,32,51,71,100,100
1781102501.1065114,FEEL,37,58,67,100,100
1781102501.1870344,FEEL,42,68,67,100,100
1781102501.268289,FEEL,47,75,67,100,100
1781102501.3499315,FEEL,50,80,64,100,100
1781102501.429892,FEEL,55,83,60,100,100
1781102501.5110497,FEEL,55,83,60,100,100
1781102501.5918155,FEEL,52,81,57,100,100
1781102501.67285,FEEL,45,75,53,100,100
1781102501.7542098,FEEL,40,63,57,100,100
1781102501.835202,FEEL,27,52,57,100,100
1781102501.9170468,FEEL,25,44,60,96,100
1781102501.9972663,FEEL,27,38,57,59,100
1781102502.0788193,FEEL,25,34,60,0,100
1781102502.160021,FEEL,0,31,57,0,100
1781102502.2401793,FEEL,0,33,57,0,100
1781102502.3218613,FEEL,0,35,60,0,100
1781102502.4023225,FEEL,0,39,57,0,100
1781102502.482784,FEEL,0,44,60,62,100
1781102502.5643103,FEEL,25,48,64,77,100
1781102502.6451848,FEEL,30,54,60,100,100
1781102502.7262561,FEEL,35,62,57,100,100
1781102502.807228,FEEL,42,69,60,100,100
1781102502.8888535,FEEL,42,75,60,100,100
1781102502.970039,FEEL,45,80,60,100,100
1781102503.0509012,FEEL,47,84,60,100,100
1781102503.1311858,FEEL,52,85,60,100,100
1781102503.2126312,FEEL,52,82,60,100,100
1781102503.2934473,FEEL,47,75,53,100,100
1781102503.3741622,FEEL,42,64,57,100,100
1781102503.4554126,FEEL,37,52,57,100,100
1781102503.5373642,FEEL,30,44,53,85,100
1781102503.6174269,FEEL,25,38,53,48,100
1781102503.6982365,FEEL,0,34,57,0,100
1781102503.7798545,FEEL,0,32,53,0,100
1781102503.8608418,FEEL,0,33,53,0,100
1781102503.9406788,FEEL,0,37,53,0,100
1781102504.0224292,FEEL,0,41,57,0,100
1781102504.1030855,FEEL,0,44,60,55,100
1781102504.1848145,FEEL,0,48,67,77,100
1781102504.2650087,FEEL,25,54,75,100,100
1781102504.3469098,FEEL,32,63,75,100,100
1781102504.4280057,FEEL,37,71,71,100,100
1781102504.5082302,FEEL,42,76,82,100,100
1781102504.5886054,FEEL,45,82,85,100,100
1781102504.6706984,FEEL,55,84,82,100,100
1781102504.751021,FEEL,55,85,85,100,100
1781102504.8316574,FEEL,52,82,85,100,100
1781102504.9138463,FEEL,50,75,85,100,100
1781102504.9939654,FEEL,37,64,82,100,100
1781102505.0753572,FEEL,27,55,82,100,100
1781102505.1565545,FEEL,0,46,78,77,100
1781102505.2378058,FEEL,0,40,75,0,100
1781102505.3184319,FEEL,0,34,78,0,100
1781102505.3993413,FEEL,0,31,78,0,100
1781102505.4809284,FEEL,0,33,71,0,100
1781102505.5618827,FEEL,0,35,75,0,100
1781102505.6419733,FEEL,0,40,75,0,100
1781102505.7234278,FEEL,0,45,75,55,100
1781102505.8045788,FEEL,0,48,71,74,100
1781102505.8849554,FEEL,27,52,64,100,100
1781102505.9660528,FEEL,37,61,64,100,100
1781102506.0473664,FEEL,42,68,60,100,100
1781102506.1288216,FEEL,52,75,60,100,100
1781102506.2086263,FEEL,55,79,67,100,100
1781102506.2906163,FEEL,60,83,67,100,100
1781102506.3718023,FEEL,60,85,67,100,100
1781102506.4522934,FEEL,62,82,67,100,100
1781102506.5333486,FEEL,57,73,64,100,100
1781102506.6140864,FEEL,50,63,64,100,100
1781102506.6949527,FEEL,42,51,64,100,100
1781102506.776491,FEEL,35,43,64,77,100
1781102506.8577623,FEEL,30,37,75,0,100
1781102506.9382756,FEEL,25,33,78,0,100
1781102507.0198848,FEEL,0,31,75,0,100
1781102507.0998807,FEEL,0,32,75,0,100
1781102507.181579,FEEL,27,35,71,0,100
1781102507.2623012,FEEL,30,40,71,0,100
1781102507.343823,FEEL,32,43,67,48,100
1781102507.4242725,FEEL,30,47,64,66,100
1781102507.5059648,FEEL,32,55,67,92,100
1781102507.587687,FEEL,37,62,64,100,100
1781102507.6683707,FEEL,40,69,67,100,100
1781102507.7499807,FEEL,42,76,67,100,100
1781102507.8308487,FEEL,42,80,67,100,100
1781102507.9116158,FEEL,47,83,71,100,100
1781102507.9927726,FEEL,45,82,71,100,100
1781102508.0730824,FEEL,37,77,64,100,100
1781102508.1542003,FEEL,32,67,64,100,100
1781102508.2354357,FEEL,25,55,57,100,100
1781102508.3167813,FEEL,0,46,57,81,100
1781102508.3970265,FEEL,0,40,57,0,100
1781102508.4781613,FEEL,0,34,57,0,100
1781102508.5590577,FEEL,0,31,57,0,100
1781102508.6403348,FEEL,0,32,53,0,100
1781102508.7212641,FEEL,0,35,53,0,100
1781102508.8020425,FEEL,0,39,57,0,100
1781102508.8837502,FEEL,25,44,57,0,100
1781102508.9639544,FEEL,30,48,57,62,100
1781102509.0457575,FEEL,37,53,60,92,100
1781102509.1262345,FEEL,45,61,64,100,100
1781102625.8876307,NAME,37,0,100,100,100
1781102625.8886487,NAME,37,30,100,100,100
1781102625.8886487,NAME,35,0,100,100,100
1781102625.8886487,NAME,35,0,100,100,100
1781102625.8896658,NAME,35,0,100,100,100
1781102625.8896658,NAME,32,0,100,100,100
1781102625.8906515,NAME,32,0,100,100,100
1781102625.8906515,NAME,30,0,100,100,100
1781102625.8906515,NAME,25,0,100,100,100
1781102625.8906515,NAME,0,0,100,100,100
1781102625.8916407,NAME,0,0,100,100,100
1781102625.8916407,NAME,0,0,100,77,100
1781102625.8916407,NAME,0,0,100,74,100
1781102625.892666,NAME,0,0,100,85,100
1781102625.892666,NAME,0,0,100,100,100
1781102625.8936534,NAME,25,0,100,100,100
1781102625.8936534,NAME,0,0,100,100,100
1781102625.8936534,NAME,25,0,100,100,100
1781102625.8936534,NAME,25,0,100,100,100
1781102625.8946402,NAME,0,0,100,100,100
1781102625.8946402,NAME,27,0,100,100,100
1781102625.8946402,NAME,30,30,100,100,100
1781102625.8956401,NAME,30,32,100,100,100
1781102625.8956401,NAME,32,34,100,100,100
1781102649.503812,NAME,0,0,96,0,100
1781102649.5048316,NAME,0,0,100,0,100
1781102649.5048316,NAME,0,0,100,0,100
1781102649.5048316,NAME,0,0,100,48,100
1781102649.5431223,NAME,0,0,100,81,100
1781102649.6239786,NAME,0,0,100,100,100
1781102649.7057793,NAME,0,0,100,100,100
1781102649.7868283,NAME,0,0,100,100,100
1781102649.8678453,NAME,0,0,100,100,100
1781102649.9478908,NAME,0,0,100,100,100
1781102650.0288093,NAME,0,0,100,100,100
1781102650.1098752,NAME,30,0,100,100,100
1781102650.1911576,NAME,25,0,100,100,100
1781102650.2723217,NAME,25,0,100,100,100
1781102650.3536205,NAME,0,0,100,85,100
1781102650.4341729,NAME,0,0,100,59,100
1781102650.5148077,NAME,25,0,100,0,100
1781102650.595918,NAME,0,0,100,0,100
1781102650.677679,NAME,0,0,100,59,100
1781102650.7588322,NAME,27,0,100,81,100
1781102650.8390315,NAME,30,0,100,100,100
1781102650.9205813,NAME,35,0,100,100,100
1781102651.0006075,NAME,40,0,100,100,100
1781102651.0823748,NAME,40,0,100,100,100
1781102651.1633682,NAME,40,0,100,100,100
1781102651.2446637,NAME,42,0,100,100,100
1781102651.3256087,NAME,45,33,100,100,100
1781102651.4067168,NAME,45,34,100,100,100
1781102651.4868858,NAME,42,34,100,100,100
1781102651.567888,NAME,45,32,100,100,100
1781102651.6494465,NAME,42,0,100,100,100
1781102651.7298784,NAME,32,0,100,100,100
1781102651.8111005,NAME,0,0,100,100,100
1781102651.8924608,NAME,0,0,100,100,100
1781102651.9728107,NAME,0,0,100,85,100
1781102652.0543628,NAME,0,0,100,59,100
1781102652.1350644,NAME,0,0,100,51,100
1781102652.2158034,NAME,0,0,100,51,100
1781102652.2967126,NAME,0,0,100,62,100
1781102652.3778393,NAME,0,0,100,85,100
1781102652.4593992,NAME,27,0,100,100,100
1781102652.5399864,NAME,27,0,100,100,100
1781102652.6215289,NAME,32,0,100,100,100
1781102652.7015004,NAME,40,0,100,100,100
1781102652.7832875,NAME,45,0,100,100,100
1781102652.864355,NAME,47,0,100,100,100
1781102652.9454243,NAME,50,0,100,100,100
1781102653.0257044,NAME,52,31,100,100,100
1781102653.1070626,NAME,52,31,100,100,100
1781102653.1883774,NAME,50,0,100,100,100
1781102653.2693255,NAME,40,0,100,100,100
1781102653.3498833,NAME,35,0,100,100,100
1781102653.431421,NAME,27,0,100,100,100
1781102653.5117466,NAME,25,0,100,92,100
1781102653.593298,NAME,0,0,100,62,100
1781102653.6743188,NAME,0,0,100,0,100
1781102653.7545862,NAME,0,0,100,0,100
1781102653.835794,NAME,0,0,100,0,100
1781102653.9168344,NAME,25,0,100,51,100
1781102653.997823,NAME,27,0,100,74,100
1781102654.0788329,NAME,27,0,100,96,100
1781102654.159691,NAME,30,0,100,100,100
1781102654.240775,NAME,37,0,100,100,100
1781102654.3221312,NAME,42,0,100,100,100
1781102654.403028,NAME,45,0,100,100,100
1781102654.4845464,NAME,42,0,100,100,100
1781102654.5655546,NAME,45,30,100,100,100
1781102654.6463983,NAME,47,30,100,100,100
1781102654.7267456,NAME,47,30,100,100,100
1781102654.8076992,NAME,42,0,100,100,100
1781102654.8892741,NAME,35,0,100,100,100
1781102654.9701042,NAME,27,0,100,100,100
1781102655.0512307,NAME,0,0,100,100,100
1781102655.132419,NAME,0,0,100,100,100
1781102655.213145,NAME,0,0,100,70,100
1781102655.293682,NAME,0,0,100,0,100
1781102655.375342,NAME,0,0,100,0,100
1781102655.4567208,NAME,0,0,100,0,100
1781102655.5373645,NAME,0,0,100,48,100
1781102655.6186333,NAME,0,0,100,74,100
1781102655.6997466,NAME,0,0,100,92,100
1781102655.780734,NAME,27,0,100,100,100
1781102655.861398,NAME,30,0,100,100,100
1781102655.942614,NAME,35,0,100,100,100
1781102656.023221,NAME,40,0,100,100,100
1781102656.1040947,NAME,45,0,100,100,100
1781102656.1844716,NAME,45,0,100,100,100
1781102656.2667754,NAME,45,0,100,100,100
1781102656.3479857,NAME,47,0,100,100,100
1781102656.4279583,NAME,50,0,100,100,100
1781102656.5091681,NAME,45,0,100,100,100
1781102656.5899503,NAME,35,0,100,100,100
1781102656.6708505,NAME,27,0,100,100,100
1781102656.7523358,NAME,0,0,100,100,100
1781102656.8332453,NAME,0,0,100,74,100
1781102656.9144678,NAME,0,0,100,51,100
1781102656.9953022,NAME,0,0,100,0,100
1781102657.0760798,NAME,0,0,100,0,100
1781102657.157639,NAME,0,0,100,55,100
1781102657.238184,NAME,25,0,100,81,100
1781102657.3193166,NAME,0,0,100,96,100
1781102657.4006124,NAME,0,0,100,100,100
1781102657.481655,NAME,30,0,100,100,100
1781102657.562467,NAME,35,0,100,100,100
1781102657.642959,NAME,37,0,100,100,100
1781102657.724915,NAME,40,0,100,100,100
1781102657.8045657,NAME,42,0,100,100,100
1781102657.88696,NAME,42,31,100,100,100
1781102657.968162,NAME,37,30,100,100,100
1781102658.0495825,NAME,32,0,100,100,100
