label,index,middle,ring
WHERE,90,0,67
WHERE,90,0,64
WHERE,87,0,64
WHERE,77,0,67
WHERE,72,0,71
WHERE,67,0,71
WHERE,67,0,71
WHERE,65,0,71
WHERE,70,0,67
WHERE,72,0,71
WHERE,70,0,67
WHERE,72,0,71
WHERE,72,0,67
WHERE,75,0,71
WHERE,80,0,71
WHERE,85,0,71
WHERE,87,0,67
WHERE,87,0,64
WHERE,82,0,64
WHERE,80,0,60
WHERE,72,0,60
WHERE,72,0,60
WHERE,75,0,60
WHERE,75,0,60
WHERE,100,100,100
WHERE,92,100,100
WHERE,82,100,100
WHERE,77,100,100
WHERE,72,100,100
WHERE,70,97,100
WHERE,70,93,100
WHERE,67,91,100
WHERE,67,91,100
WHERE,67,91,100
WHERE,62,89,100
WHERE,60,86,100
WHERE,57,89,100
WHERE,62,96,100
WHERE,70,100,100
WHERE,72,100,100
WHERE,72,100,100
WHERE,72,100,100
WHERE,67,100,100
WHERE,65,100,100
WHERE,57,100,100
WHERE,50,87,100
WHERE,50,77,100
WHERE,47,71,100
WHERE,47,66,100
WHERE,47,63,100
WHERE,47,62,100
WHERE,50,64,100
WHERE,50,67,100
WHERE,55,72,100
WHERE,57,76,100
WHERE,57,82,100
WHERE,60,89,100
WHERE,62,96,100
WHERE,67,100,100
WHERE,67,100,100
WHERE,67,100,100
WHERE,65,100,100
WHERE,65,100,100
WHERE,60,100,100
WHERE,55,94,100
WHERE,47,82,100
WHERE,42,72,100
WHERE,40,65,100
WHERE,40,60,100
WHERE,40,58,100
WHERE,37,58,100
WHERE,37,60,100
WHERE,42,66,100
WHERE,45,70,100
WHERE,45,74,100
WHERE,45,79,100
WHERE,50,86,100
WHERE,57,95,100
WHERE,60,100,100
WHERE,60,100,100
WHERE,62,100,100
WHERE,62,100,100
WHERE,57,100,100
WHERE,55,96,100
WHERE,45,84,100
WHERE,40,72,100
WHERE,42,65,100
WHERE,42,61,100
WHERE,37,58,100
WHERE,35,58,100
WHERE,37,61,100
WHERE,42,65,100
WHERE,42,71,100
WHERE,45,75,100
WHERE,47,79,100
WHERE,52,87,100
WHERE,57,95,100
WHERE,60,100,100
WHERE,60,100,100
WHERE,60,100,100
WHERE,62,100,100
WHERE,62,100,100
WHERE,57,100,100
WHERE,52,94,100
WHERE,50,82,100
