label,index,middle,ring,pinky,thumb
A,100,100,100,0,32
A,100,100,100,45,32
A,100,100,100,72,30
A,100,100,100,100,28
A,100,100,100,100,30
A,100,100,100,100,31
A,100,100,100,100,33
A,97,100,100,100,31
A,100,100,100,100,30
A,92,100,100,100,29
A,90,100,100,100,26
A,80,100,100,98,28
A,76,100,100,72,28
A,69,100,100,0,30
A,64,100,100,0,32
A,64,100,100,0,33
A,71,100,100,0,35
A,80,100,100,0,36
A,85,100,96,0,36
A,85,100,96,0,41
A,80,100,96,0,40
A,85,100,100,50,43
A,85,100,100,74,42
A,95,100,96,100,41
A,97,100,100,100,41
A,100,100,100,100,38
A,100,100,96,100,37
A,100,100,100,100,38
A,97,100,93,100,36
A,85,100,96,100,36
A,78,100,93,100,34
A,69,100,100,80,31
A,76,100,100,50,31
A,80,100,100,0,30
A,83,100,100,0,31
A,83,100,100,0,30
A,83,100,100,0,28
A,92,100,100,0,30
A,95,100,100,0,31
A,100,100,100,0,31
A,97,100,100,0,33
A,100,100,100,0,33
A,100,100,100,58,33
A,100,100,100,86,34
A,100,100,100,100,36
A,100,100,100,100,35
A,100,100,100,100,37
A,100,100,100,100,38
A,100,100,100,100,40
A,88,100,100,100,40
A,85,100,100,100,40
A,83,100,100,86,38
A,88,100,100,60,37
A,88,100,100,0,37
A,92,100,100,0,37
A,92,100,100,0,35
A,95,100,100,0,35
A,92,100,100,0,34
A,92,100,100,0,32
A,100,100,90,0,32
A,100,100,93,0,33
A,100,100,100,0,33
A,100,100,100,68,33
A,100,100,100,96,34
A,100,100,90,100,32
A,100,100,87,100,32
A,100,100,84,100,31
A,100,100,87,100,31
A,100,100,87,100,30
A,100,100,84,100,30
A,100,100,93,100,28
A,100,100,96,100,28
A,92,100,90,76,25
A,100,100,84,45,0
A,97,100,84,0,0
A,100,100,87,0,0
A,100,100,90,0,0
A,97,100,100,0,0
A,95,100,100,0,26
A,100,100,100,0,28
A,92,100,100,0,31
A,100,100,100,45,33
A,100,100,100,70,36
A,100,100,100,94,35
A,100,100,100,100,37
A,100,100,100,100,41
A,97,100,100,100,41
A,95,100,100,100,38
A,90,100,100,100,40
A,92,100,96,100,36
A,95,100,87,100,33
A,90,100,84,84,33
A,90,100,84,50,33
A,88,100,87,0,30
A,88,100,93,0,29
A,85,100,100,0,28
A,95,100,100,0,30
A,100,100,100,0,28
A,100,100,100,0,28
A,100,100,100,0,28
A,100,100,100,0,29
A,100,100,100,0,32
A,100,100,100,70,34
A,100,100,100,100,32
A,100,100,100,100,32
A,100,100,100,100,32
A,100,100,100,100,33
A,100,100,100,100,34
A,100,100,100,100,33
A,97,100,100,100,33
A,100,100,100,100,34
A,100,100,100,94,32
A,97,100,100,62,33
A,92,100,100,0,31
A,100,100,100,0,29
A,100,100,100,0,32
A,100,100,100,0,30
A,100,100,100,0,33
A,100,100,100,0,33
A,100,100,100,0,34
A,100,100,100,0,33
A,100,100,100,49,33
A,100,100,100,70,34
A,100,100,100,96,34
A,100,100,100,100,33
A,100,100,100,100,35
A,100,100,100,100,36
A,100,100,100,100,34
A,97,100,100,100,36
A,92,100,100,100,32
A,92,100,100,100,34
A,88,100,100,78,33
A,92,100,100,50,34
A,85,98,100,0,33
A,92,97,100,0,33
A,97,97,100,0,34
A,100,99,100,0,35
A,100,100,100,0,35
A,100,100,100,0,37
A,100,100,100,0,35
A,100,100,100,0,35
A,100,100,100,0,37
A,100,100,100,66,35
A,100,100,100,92,35
A,100,100,100,100,34
A,100,100,100,100,34
A,100,100,100,100,33
A,100,100,100,100,31
A,100,100,100,100,29
A,100,100,100,100,27
A,100,100,100,100,0
A,95,100,100,96,0
A,92,100,100,68,0
A,92,100,100,45,0
A,90,100,100,0,0
A,85,100,100,0,0
A,92,99,100,0,0
A,95,100,100,0,0
A,92,100,100,0,26
A,95,100,100,0,27
A,100,100,100,0,28
A,100,100,100,47,29
A,100,100,100,74,31
A,100,100,100,100,33
A,100,100,96,100,36
A,100,100,100,100,34
A,100,100,100,100,34
A,100,100,100,100,35
A,90,100,100,100,33
A,90,100,100,100,28
A,85,100,100,100,26
A,83,100,100,98,0
A,78,100,100,70,26
A,76,100,100,0,28
A,78,100,100,0,28
A,80,99,100,0,27
A,80,97,100,0,26
A,83,99,100,0,26
A,85,100,100,0,28
A,90,100,100,0,26
A,97,100,100,0,29
A,100,100,100,49,30
A,100,100,100,76,30
A,100,100,100,100,33
A,100,100,100,100,33
A,100,100,100,100,32
A,100,100,100,100,30
A,100,100,100,100,32
A,100,100,100,100,32
A,100,100,100,100,31
A,92,100,100,100,29
A,95,100,100,100,28
A,90,100,100,68,27
A,80,100,96,0,29
A,73,100,100,0,28
A,83,99,96,0,28
A,85,95,93,0,26
A,80,96,96,0,27
A,88,96,100,0,29
A,85,97,93,0,28
A,88,100,100,0,29
A,100,100,100,0,31
A,100,100,100,68,29
A,100,100,100,96,33
A,100,100,100,100,33
A,100,100,100,100,33
A,100,100,100,100,36
A,97,100,100,100,35
A,100,100,100,100,33
A,100,100,93,100,30
A,97,100,90,100,28
A,95,100,90,88,27
A,95,100,87,54,27
A,85,100,81,0,27
A,88,100,87,0,27
A,90,98,87,0,0
A,90,99,93,0,26
A,95,98,100,0,25
A,100,100,100,0,25
A,100,100,100,0,27
A,100,100,100,0,29
A,100,100,100,47,31
A,100,100,100,74,34
A,100,100,100,100,37
A,100,100,100,100,35
A,100,100,100,100,35
A,100,100,100,100,35
A,100,100,100,100,37
A,100,100,100,100,34
A,100,100,100,100,35
A,100,100,100,100,33
A,100,100,100,96,30
A,97,100,100,66,28
A,95,95,100,0,26
A,95,90,100,0,0
A,90,91,100,0,0
A,97,90,100,0,0
A,97,90,100,0,0
A,97,95,100,0,26
A,95,98,100,0,27
A,97,100,100,0,30
A,97,100,100,0,30
A,100,100,100,62,32
A,100,100,100,94,32
A,100,100,100,100,32
A,100,100,100,100,33
A,100,100,100,100,36
A,100,100,100,100,36
A,100,100,100,100,37
A,100,100,93,100,35
A,100,100,90,100,32
A,100,100,87,96,29
A,100,100,90,68,27
A,100,97,87,0,25
A,95,95,96,0,0
A,97,95,93,0,25
A,97,95,100,0,26
A,90,98,100,0,29
A,100,97,100,0,29
A,100,98,100,0,29
A,100,100,100,0,29
A,100,100,100,47,30
A,100,100,100,70,31
A,100,100,100,100,33
A,100,100,100,100,33
A,100,100,100,100,36
A,100,100,100,100,36
A,100,100,100,100,36
A,100,100,100,100,35
A,100,100,100,100,33
A,97,100,100,100,33
A,97,100,100,94,32
A,97,100,100,66,31
A,92,96,100,0,30
A,88,93,100,0,30
A,92,92,100,0,30
A,92,93,100,0,30
A,92,94,100,0,30
A,97,94,100,0,31
A,92,96,100,0,30
A,88,100,100,0,32
A,90,100,100,0,33
A,92,100,100,70,31
A,97,100,100,100,32
A,100,100,100,100,32
A,100,100,100,100,34
A,100,100,100,100,35
A,100,100,100,100,34
A,100,100,100,100,32
A,95,100,100,100,30
A,85,100,100,100,27
A,85,100,100,88,29
A,85,100,100,60,29
A,88,98,100,0,27
A,92,96,100,0,26
A,88,95,100,0,27
A,83,95,100,0,27
A,80,99,100,0,28
A,78,100,100,0,26
A,83,100,100,0,28
A,85,100,100,0,30
A,100,100,100,45,33
A,100,100,100,70,33
A,100,100,100,98,31
A,100,100,100,100,30
A,100,100,100,100,30
A,100,100,100,100,32
A,100,100,100,100,33
A,100,100,100,100,31
A,95,100,100,100,31
A,95,100,100,100,31
A,92,100,100,96,31
A,97,100,100,68,30
A,92,100,100,0,29
A,95,100,100,0,32
A,92,99,100,0,32
A,92,99,100,0,32
A,90,97,100,0,33
A,92,98,100,0,33
A,92,99,100,0,34
A,100,100,100,0,36
A,100,100,100,0,37
A,100,100,100,66,38
A,100,100,100,96,40
A,100,100,100,100,41
A,100,100,100,100,41
A,100,100,100,100,41
A,100,100,100,100,42
A,100,100,100,100,42
A,95,100,100,100,43
A,100,100,100,100,42
A,95,100,100,100,42
A,95,100,100,76,41
A,92,100,100,54,38
A,88,99,100,0,37
A,88,95,100,0,40
A,88,95,100,0,40
A,97,98,100,0,38
A,97,100,100,0,37
A,97,100,100,0,38
A,100,100,100,0,37
A,100,100,100,54,37
A,100,100,100,80,38
A,97,100,100,100,36
A,97,100,100,100,34
A,97,100,100,100,34
A,100,100,100,100,36
A,100,100,100,100,32
A,100,100,100,100,32
A,95,100,100,100,33
A,90,100,100,100,32
A,92,100,100,98,30
A,92,100,100,68,32
A,97,100,100,0,31
A,100,100,100,0,30
A,100,100,100,0,33
A,100,100,100,0,35
A,100,100,100,0,37
A,100,100,100,0,34
A,100,100,100,0,37
A,100,100,100,0,40
A,100,100,100,0,41
A,100,100,100,70,41
A,100,100,100,94,43
A,100,100,100,100,42
A,100,100,100,100,45
A,100,100,100,100,45
A,100,100,100,100,43
A,100,100,100,100,44
A,100,100,100,100,42
A,100,100,100,100,43
A,97,100,100,88,40
A,97,100,100,64,36
A,97,100,100,0,36
A,100,99,100,0,37
A,100,100,96,0,34
A,100,99,96,0,34
A,100,100,100,0,33
A,100,100,100,0,34
A,100,100,96,0,36
A,100,100,93,0,34
A,100,100,96,0,35
A,100,100,96,68,34
A,100,100,93,100,37
A,100,100,100,100,41
A,100,100,100,100,40
A,100,100,100,100,40
A,100,100,100,100,40
A,92,100,100,100,37
A,90,100,100,100,35
A,90,100,100,100,34
A,90,100,100,100,33
A,92,100,100,74,32
A,90,100,100,50,33
A,92,96,100,0,33
A,100,96,96,0,33
A,100,97,100,0,31
A,100,98,100,0,31
A,100,100,96,0,34
A,100,100,96,0,35
A,100,100,100,0,38
A,100,100,100,50,41
A,100,100,100,80,40
A,100,100,100,100,38
A,100,100,100,100,42
A,100,100,100,100,38
A,100,100,100,100,38
A,100,100,100,100,38
A,100,100,100,100,37
A,100,100,100,100,35
A,95,100,100,100,33
A,88,100,100,98,32
A,95,100,100,64,31
A,97,100,96,0,31
A,90,97,96,0,32
A,92,95,96,0,32
A,85,95,96,0,30
A,95,97,96,0,32
A,97,97,100,0,33
A,100,99,100,0,33
A,100,100,100,0,35
A,100,100,100,45,38
A,100,100,100,66,38
A,100,100,96,90,40
A,100,100,100,100,40
