label,indexPercent,middlePercent,ringPercent
MIDDLE_BENT,96,65,0
MIDDLE_BENT,62,60,0
MIDDLE_BENT,100,78,0
MIDDLE_BENT,72,62,0
MIDDLE_BENT,100,70,0
MIDDLE_BENT,100,69,0
MIDDLE_BENT,98,60,0
MIDDLE_BENT,85,77,0
MIDDLE_BENT,100,78,0
MIDDLE_BENT,98,65,0
MIDDLE_BENT,100,86,0
MIDDLE_BENT,63,80,0
MIDDLE_BENT,100,90,0
MIDDLE_BENT,67,70,0
MIDDLE_BENT,100,81,0
MIDDLE_BENT,100,74,0
MIDDLE_BENT,80,77,0
MIDDLE_BENT,90,79,37
MIDDLE_BENT,87,86,0
MIDDLE_BENT,62,81,43
MIDDLE_BENT,80,63,0
MIDDLE_BENT,100,68,0
MIDDLE_BENT,0,62,0
MIDDLE_BENT,95,70,0
MIDDLE_BENT,100,79,0
MIDDLE_BENT,0,71,0
MIDDLE_BENT,100,78,0
MIDDLE_BENT,81,75,0
MIDDLE_BENT,91,75,0
MIDDLE_BENT,86,77,0
MIDDLE_BENT,0,71,0
MIDDLE_BENT,89,79,0
MIDDLE_BENT,0,66,0
MIDDLE_BENT,97,75,0
MIDDLE_BENT,0,67,0
MIDDLE_BENT,88,76,0
MIDDLE_BENT,83,70,0
MIDDLE_BENT,81,74,0
MIDDLE_BENT,73,86,0
MIDDLE_BENT,81,71,0
MIDDLE_BENT,78,70,0
MIDDLE_BENT,73,66,0
